feature,feature_dissatisfaction,feature_satisfaction
customer service,1,1
apple pay,0.049149828,0.021528636
cancel order,0.079883573,0
easy use,0,0.119477903
credit card,0.047703229,0.020894996
payment method,0.051439562,0.423093124
fast delivery,0.023935887,0.613338057
order food,0.054939716,0.742998422
quality food,0,0.369019359
delivery fee,0.081106616,0.173191039
affordable price,0,0.162787999
accept order,0.029200277,0
delightful meal,0,0.414529334
tasty food,0,0.107193388
delivery guy,0.069880887,0.110533462
free delivery,0.0229009,0.163004817
google map,0.013657902,0
contact customer,0.067500284,0
wide variety,0,0.141223538
favorite food,0,0.382366643
receive order,0.097060052,0
restaurant menu,0,0.601691131
restaurant finder,0,0.067058108
open ticket,0.052216757,0
user friendly,0,0.521807465
browse dish,0,0.263141599
late delivery,0.062819391,0.067070703
flexible payment,0,0.366711146
